name;capacity;tech;profile;type;bus
E20793011000000000000017768860001;0.029972;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017768860002;0.00595;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000031450300001;0.01056;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011S12000000000001514610001;0.02261;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000040792400001;0.01892;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017630010001;0.02944;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020853480003;0.08;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020853480004;0.10626;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020853480005;0.1119;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021383280001;0.02772;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020863270001;0.01334;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000002093010001;0.01622;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021283250001;0.02486;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020740670001;0.06885;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021357620001;0.0699;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020458410001;0.0013;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020458410002;0.02964;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011S12000000000001726380001;0.0999;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301Y120000000000017263800001;0.14946;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2026001HSA0000DOERPUME0200000052;0.912;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2026001HSA0000DOERPUME0200000053;1;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000030980000001;0.029704;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000030980000002;0.00624;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020520590001;0.02772;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020520590002;0.02772;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020520590003;0.01716;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020520590004;0.07176;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020497420001;0.03296;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020925860001;0.030225;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011S12000000000002344840001;0.0092;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021340490001;0.132435;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021324070001;0.03435;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021367610001;0.01144;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000064514200001;0.0098;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000040192600001;0.009963;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020263240001;0.00806;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020263240002;0.00247;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017630290001;0.02208;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000031916300001;0.09984;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017621250001;0.0294;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017621250002;0.01674;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021127040001;0.04998;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000070007800001;0.008925;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000039614200001;0.02413;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021367210001;0.09361;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020684260001;0.0612;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020613630001;0.00787;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021353290001;0.09338;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017757610001;0.01755;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020669540001;0.0333;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020669540002;0.027;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020669540003;0.02862;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020669540004;0.0108;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020669540005;0.09936;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020669540006;0.01008;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020378210001;0.0133;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021134260001;0.1311;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017537540001;0.011375;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017537540002;0.02457;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S000000000000074120200001;0.00318;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021394760001;0.01372;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000042893000001;0.00588;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021359750001;0.02992;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017630240001;0.01696;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E2079301S120000000000047452500001;0.00564;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021155190001;0.00966;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000001241320001;0.01071;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011S12000000000001966500001;0.09984;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020420320001;0.04342;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000020969510001;0.05133;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021050430001;0.0756;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011S12000000000002703270001;0.04719;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011S12000000000002703270002;0.05264;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017607520001;0.024;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017774160001;0.03254;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000017788010001;0.032;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021057490001;0.040779;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
E20793011000000000000021057490002;0.05272;pv;pv-Bordelum-profile;volatile;Bordelum-electricity
WEA;1;wind;wind-Bordelum-profile;volatile;Bordelum-electricity
