timeindex;demand-BordelumG0-profile;demand-BordelumG1-profile;demand-BordelumG2-profile;demand-BordelumG3-profile;demand-BordelumG4-profile;demand-BordelumG5-profile;demand-BordelumG6-profile;demand-BordelumL0-profile;demand-BordelumL1-profile;demand-BordelumL2-profile;demand-BordelumSB-profile;demand-BordelumHH-profile;demand-BorderlumBHKW_profile
2050-01-01T00:00:00Z;6.31E-05;2.55E-05;8.23E-05;9.61E-05;5.81E-05;3.90E-05;0.000100587;6.89E-05;6.40E-05;7.09E-05;0.000225023;0.000162859;0.000176784
2050-01-01T01:00:00Z;5.52E-05;2.48E-05;5.83E-05;9.98E-05;5.40E-05;3.94E-05;7.34E-05;6.26E-05;6.04E-05;6.43E-05;0.000225023;0.000147597;0.000181982
2050-01-01T02:00:00Z;4.86E-05;2.61E-05;3.68E-05;9.91E-05;5.44E-05;4.21E-05;6.54E-05;6.00E-05;5.71E-05;6.19E-05;0.000225023;0.000142013;0.000190195
2050-01-01T03:00:00Z;4.30E-05;2.42E-05;3.34E-05;8.93E-05;5.32E-05;3.75E-05;5.73E-05;5.74E-05;5.66E-05;5.89E-05;0.000225023;0.00013522;0.000205531
2050-01-01T04:00:00Z;4.18E-05;2.42E-05;3.22E-05;8.76E-05;5.22E-05;3.82E-05;5.03E-05;5.69E-05;5.60E-05;5.82E-05;0.000225023;0.000133638;0.000186088
2050-01-01T05:00:00Z;4.25E-05;2.51E-05;2.87E-05;8.97E-05;5.38E-05;4.25E-05;4.43E-05;5.90E-05;5.66E-05;6.12E-05;0.000225023;0.000140524;0.00019212
2050-01-01T06:00:00Z;4.73E-05;2.85E-05;4.38E-05;0.0001046;6.19E-05;4.87E-05;4.33E-05;7.59E-05;7.81E-05;8.00E-05;0.000225023;0.000127607;0.000179778
2050-01-01T07:00:00Z;5.17E-05;2.79E-05;7.86E-05;1.00E-04;6.65E-05;5.71E-05;4.73E-05;0.000122841;0.0001513;0.000116729;0.000225023;0.000123026;0.000194858
2050-01-01T08:00:00Z;4.95E-05;2.86E-05;6.58E-05;0.000118724;6.30E-05;5.69E-05;6.44E-05;0.000193231;0.000265067;0.00016573;0.000225023;0.000118445;0.000193767
2050-01-01T09:00:00Z;5.12E-05;3.02E-05;9.95E-05;0.000143704;5.82E-05;5.48E-05;0.000103605;0.000228225;0.000265147;0.000203748;0;0.000113863;0.00019212
2050-01-01T10:00:00Z;6.25E-05;2.98E-05;0.000147725;0.000144188;5.87E-05;6.06E-05;0.000188098;0.000180371;0.000143922;0.000190697;0;0.000109282;0.000186644
2050-01-01T11:00:00Z;7.07E-05;3.05E-05;0.000181174;0.000149192;6.44E-05;6.85E-05;0.000242414;0.000155819;0.000135093;0.000165487;0;0.000104701;0.000200334
2050-01-01T12:00:00Z;7.60E-05;3.18E-05;0.000176232;0.000147658;6.73E-05;7.23E-05;0.000259514;0.000156423;0.000136303;0.00016642;0;0.000100119;0.00018335
2050-01-01T13:00:00Z;8.00E-05;2.93E-05;0.000180766;0.000144107;6.14E-05;6.89E-05;0.000252473;0.000120382;1.00E-04;0.00013136;0;9.55E-05;0.000128551
2050-01-01T14:00:00Z;7.78E-05;2.83E-05;0.000186238;0.000123324;6.12E-05;5.97E-05;0.000226321;0.000115705;9.95E-05;0.000123943;0;9.10E-05;0.000130732
2050-01-01T15:00:00Z;6.88E-05;3.06E-05;0.000179745;0.000102663;6.43E-05;5.65E-05;0.000164963;0.000108327;0.000105462;0.000111865;0;8.64E-05;0.000197318
2050-01-01T16:00:00Z;6.20E-05;3.21E-05;0.000194366;0.000101533;6.65E-05;5.81E-05;0.00013881;0.000107763;0.000106914;0.000110852;0;8.18E-05;0.000194858
2050-01-01T17:00:00Z;6.95E-05;3.16E-05;0.000215195;0.000106739;7.47E-05;6.43E-05;0.000159933;0.00013175;0.000123442;0.000135981;0.000225023;7.72E-05;0.000197061
2050-01-01T18:00:00Z;9.07E-05;3.29E-05;0.000239333;0.00011602;8.83E-05;7.43E-05;0.000236379;0.00018928;0.000208506;0.000181537;0.000225023;7.26E-05;0.000198965
2050-01-01T19:00:00Z;9.31E-05;3.51E-05;0.000233574;0.000120015;8.95E-05;6.85E-05;0.000261526;0.000238062;0.000307639;0.000210112;0.000225023;0.000162859;0.000208825
2050-01-01T20:00:00Z;9.29E-05;3.16E-05;0.000227652;0.000118038;9.12E-05;5.58E-05;0.000227326;0.000207301;0.000224873;0.000197426;0.000225023;0.000147597;0.000189382
2050-01-01T21:00:00Z;8.20E-05;3.12E-05;0.000211315;0.00010004;7.57E-05;5.24E-05;0.000207209;0.000133686;0.000115138;0.000141128;0.000225023;0.000142013;0.000187457
2050-01-01T22:00:00Z;7.28E-05;2.78E-05;0.000154995;9.54E-05;6.63E-05;4.43E-05;0.000158927;0.00010744;9.07E-05;0.000114459;0.000225023;0.00013522;0.000179222
2050-01-01T23:00:00Z;6.49E-05;2.78E-05;9.49E-05;9.04E-05;5.79E-05;3.71E-05;9.66E-05;8.79E-05;7.64E-05;9.33E-05;0.000225023;0.000133638;0.000180335
2050-01-02T00:00:00Z;6.55E-05;2.61E-05;7.90E-05;9.55E-05;6.25E-05;5.02E-05;6.24E-05;7.30E-05;6.72E-05;7.62E-05;0.000225023;0.000140524;0.000193489
2050-01-02T01:00:00Z;5.48E-05;2.63E-05;4.59E-05;9.75E-05;5.84E-05;4.32E-05;4.43E-05;6.37E-05;6.13E-05;6.57E-05;0.000225023;0.000127607;0.000176484
