timeindex,demand-Bordelum-profile_incl_bhkw,demand-Bordelum-profile_without_bhkw
2050-01-01T00:00:00Z,1.31E-04,0.0001306
2050-01-01T01:00:00Z,1.19E-04,0.000118798
2050-01-01T02:00:00Z,1.14E-04,0.000114137
2050-01-01T03:00:00Z,1.09E-04,0.00010909
2050-01-01T04:00:00Z,1.08E-04,0.000107849
2050-01-01T05:00:00Z,1.13E-04,0.00011281
2050-01-01T06:00:00Z,1.10E-04,0.000109438
2050-01-01T07:00:00Z,1.22E-04,0.000121838
2050-01-01T08:00:00Z,1.42E-04,0.000141594
2050-01-01T09:00:00Z,1.41E-04,0.000140964
2050-01-01T10:00:00Z,1.17E-04,0.000117282
2050-01-01T11:00:00Z,1.11E-04,0.00011064
2050-01-01T12:00:00Z,1.08E-04,0.000107851
2050-01-01T13:00:00Z,9.57E-05,9.56467E-05
2050-01-01T14:00:00Z,9.20E-05,9.19734E-05
2050-01-01T15:00:00Z,8.90E-05,8.88469E-05
2050-01-01T16:00:00Z,8.63E-05,8.61805E-05
2050-01-01T17:00:00Z,9.09E-05,9.07464E-05
2050-01-01T18:00:00Z,1.06E-04,0.000106044
2050-01-01T19:00:00Z,1.85E-04,0.000184872
2050-01-01T20:00:00Z,1.60E-04,0.000160231
2050-01-01T21:00:00Z,1.33E-04,0.000133162
2050-01-01T22:00:00Z,1.21E-04,0.000121346
2050-01-01T23:00:00Z,1.15E-04,0.000115232
2050-01-02T00:00:00Z,1.17E-04,0.000116647
2050-01-02T01:00:00Z,1.06E-04,0.00010568
2050-01-02T02:00:00Z,1.02E-04,0.000101678
2050-01-02T03:00:00Z,9.83E-05,9.82162E-05
2050-01-02T04:00:00Z,9.48E-05,9.46901E-05
2050-01-02T05:00:00Z,9.24E-05,9.22626E-05
2050-01-02T06:00:00Z,9.37E-05,9.36431E-05
2050-01-02T07:00:00Z,1.08E-04,0.000107778
2050-01-02T08:00:00Z,1.43E-04,0.000142452
2050-01-02T09:00:00Z,1.48E-04,0.000148037
2050-01-02T10:00:00Z,0.000125159,0.000125083
2050-01-02T11:00:00Z,0.000116469,0.000116374
2050-01-02T12:00:00Z,1.12E-04,0.00011175
2050-01-02T13:00:00Z,9.57E-05,9.56369E-05
2050-01-02T14:00:00Z,1.52E-04,0.000151893
2050-01-02T15:00:00Z,0.00014493,0.00014489
2050-01-02T16:00:00Z,0.000140697,0.000140649
2050-01-02T17:00:00Z,0.000139626,0.000139577
2050-01-02T18:00:00Z,0.000153376,0.000153345
2050-01-02T19:00:00Z,0.000172393,0.000172364
2050-01-02T20:00:00Z,1.46E-04,0.000146283
2050-01-02T21:00:00Z,1.22E-04,0.000122206
2050-01-02T22:00:00Z,1.11E-04,0.000110623
2050-01-02T23:00:00Z,1.03E-04,0.000102961
2050-01-03T00:00:00Z,9.70E-05,9.6921E-05
2050-01-03T01:00:00Z,9.30E-05,9.28719E-05
2050-01-03T02:00:00Z,8.84E-05,8.82757E-05
2050-01-03T03:00:00Z,8.38E-05,8.36805E-05
2050-01-03T04:00:00Z,7.98E-05,7.96653E-05
2050-01-03T05:00:00Z,7.70E-05,7.69365E-05
2050-01-03T06:00:00Z,7.59E-05,7.58059E-05
2050-01-03T07:00:00Z,8.13E-05,8.12089E-05
2050-01-03T08:00:00Z,9.70E-05,9.69315E-05
2050-01-03T09:00:00Z,0.000168732,0.00016874
2050-01-03T10:00:00Z,0.000155501,0.000155483
2050-01-03T11:00:00Z,0.000145518,0.00014548
2050-01-03T12:00:00Z,0.000139734,0.000139709
2050-01-03T13:00:00Z,0.000127382,0.000127347
2050-01-03T14:00:00Z,0.00012594,0.00012596
2050-01-03T15:00:00Z,0.000112869,0.000112821
2050-01-03T16:00:00Z,1.09E-04,0.000109388
2050-01-03T17:00:00Z,1.13E-04,0.000113222
2050-01-03T18:00:00Z,1.26E-04,0.000125931
2050-01-03T19:00:00Z,1.37E-04,0.000136565
2050-01-03T20:00:00Z,1.28E-04,0.000128381
2050-01-03T21:00:00Z,1.06E-04,0.000106377
2050-01-03T22:00:00Z,9.63E-05,9.61886E-05
2050-01-03T23:00:00Z,8.75E-05,8.7409E-05
2050-01-04T00:00:00Z,7.95E-05,7.94275E-05
2050-01-04T01:00:00Z,7.49E-05,7.48113E-05
2050-01-04T02:00:00Z,7.10E-05,7.09151E-05
2050-01-04T03:00:00Z,6.74E-05,6.72922E-05
2050-01-04T04:00:00Z,1.27E-04,0.00012739
2050-01-04T05:00:00Z,1.18E-04,0.000117553
2050-01-04T06:00:00Z,1.19E-04,0.000119011
2050-01-04T07:00:00Z,1.30E-04,0.000129769
2050-01-04T08:00:00Z,1.52E-04,0.000151487
2050-01-04T09:00:00Z,1.58E-04,0.000158372
2050-01-04T10:00:00Z,1.29E-04,0.000129215
2050-01-04T11:00:00Z,1.22E-04,0.000122476
2050-01-04T12:00:00Z,1.20E-04,0.000119792
2050-01-04T13:00:00Z,1.08E-04,0.000107501
2050-01-04T14:00:00Z,1.04E-04,0.000103874
2050-01-04T15:00:00Z,1.01E-04,0.00010078
2050-01-04T16:00:00Z,9.79E-05,9.78958E-05
2050-01-04T17:00:00Z,1.02E-04,0.000102453
2050-01-04T18:00:00Z,1.18E-04,0.000117727
2050-01-04T19:00:00Z,1.33E-04,0.000133397
2050-01-04T20:00:00Z,1.16E-04,0.000116005
2050-01-04T21:00:00Z,8.96E-05,8.96154E-05
2050-01-04T22:00:00Z,7.94E-05,7.93965E-05
2050-01-04T23:00:00Z,1.35E-04,0.000134636
2050-01-05T00:00:00Z,1.21E-04,0.000121371
2050-01-05T01:00:00Z,1.15E-04,0.000115303
2050-01-05T02:00:00Z,1.10E-04,0.000109823
2050-01-05T03:00:00Z,1.08E-04,0.000108364
2050-01-05T04:00:00Z,1.12E-04,0.000112498
2050-01-05T05:00:00Z,1.05E-04,0.000104503
2050-01-05T06:00:00Z,1.06E-04,0.000105883
2050-01-05T07:00:00Z,1.20E-04,0.000120018
2050-01-05T08:00:00Z,1.55E-04,0.000154692
2050-01-05T09:00:00Z,1.60E-04,0.000160278
2050-01-05T10:00:00Z,1.37E-04,0.000137323
2050-01-05T11:00:00Z,1.29E-04,0.000128614
2050-01-05T12:00:00Z,1.24E-04,0.00012399
2050-01-05T13:00:00Z,1.08E-04,0.000107877
2050-01-05T14:00:00Z,1.01E-04,0.000100805
2050-01-05T15:00:00Z,1.01E-04,0.000100937
2050-01-05T16:00:00Z,9.74E-05,9.73659E-05
2050-01-05T17:00:00Z,9.78E-05,9.77713E-05
2050-01-05T18:00:00Z,1.73E-04,0.000172863
2050-01-05T19:00:00Z,1.77E-04,0.000177088
2050-01-05T20:00:00Z,1.56E-04,0.000155906
2050-01-05T21:00:00Z,1.30E-04,0.000130351
2050-01-05T22:00:00Z,1.21E-04,0.000120771
2050-01-05T23:00:00Z,1.21E-04,0.00012077
2050-01-06T00:00:00Z,1.08E-04,0.000108019
2050-01-06T01:00:00Z,1.03E-04,0.00010262
2050-01-06T02:00:00Z,9.87E-05,9.86176E-05
2050-01-06T03:00:00Z,9.52E-05,9.51561E-05
2050-01-06T04:00:00Z,9.17E-05,9.163E-05
2050-01-06T05:00:00Z,8.93E-05,8.92025E-05
2050-01-06T06:00:00Z,9.06E-05,9.0583E-05
2050-01-06T07:00:00Z,1.05E-04,0.000104717
2050-01-06T08:00:00Z,0.000139388,0.000139391
2050-01-06T09:00:00Z,0.00014496,0.000144977
2050-01-06T10:00:00Z,0.000122029,0.000122023
2050-01-06T11:00:00Z,0.000113304,0.000113314
2050-01-06T12:00:00Z,0.000108686,0.00010869
2050-01-06T13:00:00Z,0.000155854,0.000155905
2050-01-06T14:00:00Z,0.000141666,0.000141698
2050-01-06T15:00:00Z,0.000141129,0.00014116
2050-01-06T16:00:00Z,0.000136085,0.000136112
2050-01-06T17:00:00Z,0.000138499,0.000138521
2050-01-06T18:00:00Z,0.000157899,0.000157945
2050-01-06T19:00:00Z,0.000163706,0.000163736
2050-01-06T20:00:00Z,1.43E-04,0.000143223
2050-01-06T21:00:00Z,1.19E-04,0.000119146
2050-01-06T22:00:00Z,1.08E-04,0.000107563
2050-01-06T23:00:00Z,1.00E-04,9.99013E-05
2050-01-07T00:00:00Z,9.28E-05,9.27181E-05
2050-01-07T01:00:00Z,8.74E-05,8.73198E-05
2050-01-07T02:00:00Z,8.34E-05,8.33171E-05
2050-01-07T03:00:00Z,7.99E-05,7.98556E-05
2050-01-07T04:00:00Z,7.64E-05,7.63295E-05
2050-01-07T05:00:00Z,7.40E-05,7.3902E-05
2050-01-07T06:00:00Z,7.53E-05,7.52825E-05
2050-01-07T07:00:00Z,8.95E-05,8.94169E-05
2050-01-07T08:00:00Z,0.000187365,0.000187419
2050-01-07T09:00:00Z,0.00018582,0.00018587
2050-01-07T10:00:00Z,0.0001622,0.000162246
2050-01-07T11:00:00Z,0.000152037,0.00015206
2050-01-07T12:00:00Z,0.000149429,0.000149439
2050-01-07T13:00:00Z,0.000140978,0.000140986
2050-01-07T14:00:00Z,0.000128353,0.000128346
2050-01-07T15:00:00Z,0.000128485,0.000128478
2050-01-07T16:00:00Z,0.000124921,0.000124907
2050-01-07T17:00:00Z,0.000125331,0.000125312
2050-01-07T18:00:00Z,0.000137082,0.000137076
2050-01-07T19:00:00Z,0.000148439,0.000148436
2050-01-07T20:00:00Z,1.28E-04,0.000127923
2050-01-07T21:00:00Z,1.04E-04,0.000103846
2050-01-07T22:00:00Z,9.23E-05,9.22621E-05
2050-01-07T23:00:00Z,8.47E-05,8.46008E-05
2050-01-08T00:00:00Z,7.75E-05,7.74176E-05
2050-01-08T01:00:00Z,7.21E-05,7.20194E-05
2050-01-08T02:00:00Z,6.81E-05,6.80166E-05
2050-01-08T03:00:00Z,1.28E-04,0.000127883
2050-01-08T04:00:00Z,1.17E-04,0.000117223
2050-01-08T05:00:00Z,1.14E-04,0.000114126
2050-01-08T06:00:00Z,1.14E-04,0.000114028
2050-01-08T07:00:00Z,1.30E-04,0.000130166
2050-01-08T08:00:00Z,0.000172443,0.0001725
2050-01-08T09:00:00Z,0.000172462,0.000172518
2050-01-08T10:00:00Z,0.000149526,0.000149564
2050-01-08T11:00:00Z,0.000140821,0.000140855
2050-01-08T12:00:00Z,0.000136213,0.000136231
2050-01-08T13:00:00Z,0.000120134,0.000120118
2050-01-08T14:00:00Z,0.000113047,0.000113045
2050-01-08T15:00:00Z,0.000113201,0.000113177
2050-01-08T16:00:00Z,0.000109614,0.000109606
2050-01-08T17:00:00Z,0.000110019,0.000110012
2050-01-08T18:00:00Z,0.000121771,0.000121776
2050-01-08T19:00:00Z,0.00013311,0.000133135
2050-01-08T20:00:00Z,1.13E-04,0.000112622
2050-01-08T21:00:00Z,8.86E-05,8.85452E-05
2050-01-08T22:00:00Z,1.40E-04,0.000140289
2050-01-08T23:00:00Z,1.25E-04,0.000125494
2050-01-09T00:00:00Z,1.18E-04,0.000117641
2050-01-09T01:00:00Z,1.11E-04,0.000110765
2050-01-09T02:00:00Z,1.09E-04,0.000108766
2050-01-09T03:00:00Z,1.13E-04,0.000112964
2050-01-09T04:00:00Z,1.04E-04,0.00010387
2050-01-09T05:00:00Z,1.01E-04,0.000101443
2050-01-09T06:00:00Z,1.03E-04,0.000102823
2050-01-09T07:00:00Z,1.17E-04,0.000116958
2050-01-09T08:00:00Z,1.52E-04,0.000151632
2050-01-09T09:00:00Z,0.000157202,0.000157217
2050-01-09T10:00:00Z,0.000134265,0.000134263
2050-01-09T11:00:00Z,0.000125557,0.000125554
2050-01-09T12:00:00Z,0.000120952,0.00012093
2050-01-09T13:00:00Z,0.000104845,0.000104817
2050-01-09T14:00:00Z,9.78E-05,9.7745E-05
2050-01-09T15:00:00Z,9.79E-05,9.78769E-05
2050-01-09T16:00:00Z,9.44E-05,9.43058E-05
2050-01-09T17:00:00Z,0.000158024,0.000158039
2050-01-09T18:00:00Z,0.000162647,0.000162669
2050-01-09T19:00:00Z,0.000173322,0.000173359
2050-01-09T20:00:00Z,1.51E-04,0.000151368
2050-01-09T21:00:00Z,1.29E-04,0.000129294
2050-01-09T22:00:00Z,1.25E-04,0.000125371
2050-01-09T23:00:00Z,1.12E-04,0.000112142
2050-01-10T00:00:00Z,1.06E-04,0.000106101
2050-01-10T01:00:00Z,1.02E-04,0.000102052
2050-01-10T02:00:00Z,9.75E-05,9.7456E-05
2050-01-10T03:00:00Z,9.29E-05,9.28608E-05
2050-01-10T04:00:00Z,8.89E-05,8.88456E-05
2050-01-10T05:00:00Z,8.62E-05,8.61168E-05
2050-01-10T06:00:00Z,8.50E-05,8.49862E-05
2050-01-10T07:00:00Z,9.04E-05,9.03892E-05
2050-01-10T08:00:00Z,0.000106131,0.000106112
2050-01-10T09:00:00Z,0.000114607,0.000114592
2050-01-10T10:00:00Z,0.000108486,0.00010847
