timeindex;pv-Bordelum-profile;wind-Bordelum-profile
2050-01-01T00:00:00Z;0;0.27412
2050-01-01T01:00:00Z;0;0.27412
2050-01-01T02:00:00Z;0;0.33033
2050-01-01T03:00:00Z;0;0.21838
2050-01-01T04:00:00Z;0;0.39638
2050-01-01T05:00:00Z;0;0.53219
2050-01-01T06:00:00Z;0;0.53219
2050-01-01T07:00:00Z;0;0.6005
2050-01-01T08:00:00Z;0.02660147;0.46698
2050-01-01T09:00:00Z;0.132142258;0.6005
2050-01-01T10:00:00Z;0.148146394;0.74092
2050-01-01T11:00:00Z;0.185777742;0.67017
2050-01-01T12:00:00Z;0.265690286;0.80195
2050-01-01T13:00:00Z;0.046390367;0.80195
2050-01-01T14:00:00Z;0.061421279;0.80195
2050-01-01T15:00:00Z;0.045525279;0.80195
2050-01-01T16:00:00Z;0.000108136;0.74092
2050-01-01T17:00:00Z;0;0.85217
2050-01-01T18:00:00Z;0;0.89839
2050-01-01T19:00:00Z;0;0.967
2050-01-01T20:00:00Z;0;0.95319
2050-01-01T21:00:00Z;0;0.95319
2050-01-01T22:00:00Z;0;0.98089
2050-01-01T23:00:00Z;0;0.98089
2050-01-02T00:00:00Z;0;0.967
2050-01-02T01:00:00Z;0;0.98582
2050-01-02T02:00:00Z;0;1
2050-01-02T03:00:00Z;0;1
2050-01-02T04:00:00Z;0;1
2050-01-02T05:00:00Z;0;1
2050-01-02T06:00:00Z;0;1
2050-01-02T07:00:00Z;0;0.93433
2050-01-02T08:00:00Z;0.078506775;0.95319
2050-01-02T09:00:00Z;0.073965061;0.98089
2050-01-02T10:00:00Z;0.103702477;0.99834
2050-01-02T11:00:00Z;0.133439891;0.98582
2050-01-02T12:00:00Z;0.098079401;0.99834
2050-01-02T13:00:00Z;0.121869333;0.98582
2050-01-02T14:00:00Z;0.066936218;0.98089
2050-01-02T15:00:00Z;0.020870259;0.98089
2050-01-02T16:00:00Z;0;0.967
2050-01-02T17:00:00Z;0;0.967
2050-01-02T18:00:00Z;0;0.967
2050-01-02T19:00:00Z;0;0.80195
2050-01-02T20:00:00Z;0;0.85217
2050-01-02T21:00:00Z;0;0.93433
2050-01-02T22:00:00Z;0;0.98089
2050-01-02T23:00:00Z;0;0.89839
2050-01-03T00:00:00Z;0;0.85217
2050-01-03T01:00:00Z;0;0.89839
2050-01-03T02:00:00Z;0;0.89839
2050-01-03T03:00:00Z;0;0.67017
2050-01-03T04:00:00Z;0;0.85217
2050-01-03T05:00:00Z;0;0.93433
2050-01-03T06:00:00Z;0;0.85217
2050-01-03T07:00:00Z;0;0.85217
2050-01-03T08:00:00Z;0.009624109;0.89839
2050-01-03T09:00:00Z;0.015247183;0.80195
2050-01-03T10:00:00Z;0.075154558;0.85217
2050-01-03T11:00:00Z;0.109974367;0.6005
2050-01-03T12:00:00Z;0.314567782;0.27412
2050-01-03T13:00:00Z;0.286019864;0.33033
2050-01-03T14:00:00Z;0.079047456;0.21838
2050-01-03T15:00:00Z;0.009948517;0.21838
2050-01-03T16:00:00Z;0;0.27412
2050-01-03T17:00:00Z;0;0.21838
2050-01-03T18:00:00Z;0;0.33033
2050-01-03T19:00:00Z;0;0.46698
2050-01-03T20:00:00Z;0;0.46698
2050-01-03T21:00:00Z;0;0.67017
2050-01-03T22:00:00Z;0;0.6005
2050-01-03T23:00:00Z;0;0.46698
2050-01-04T00:00:00Z;0;0.27412
2050-01-04T01:00:00Z;0;0.09287
2050-01-04T02:00:00Z;0;0.09287
2050-01-04T03:00:00Z;0;0.09287
2050-01-04T04:00:00Z;0;0.09287
2050-01-04T05:00:00Z;0;0.16793
2050-01-04T06:00:00Z;0;0.39638
2050-01-04T07:00:00Z;0;0.21838
2050-01-04T08:00:00Z;0.082940354;0.27412
2050-01-04T09:00:00Z;0.319974585;0.21838
2050-01-04T10:00:00Z;0.437951021;0.27412
2050-01-04T11:00:00Z;0.411025143;0.39638
2050-01-04T12:00:00Z;0.330680055;0.6005
2050-01-04T13:00:00Z;0.291210394;0.46698
2050-01-04T14:00:00Z;0.219191782;0.33033
2050-01-04T15:00:00Z;0.087265796;0.16793
2050-01-04T16:00:00Z;0.000216272;0.21838
2050-01-04T17:00:00Z;0;0.12445
2050-01-04T18:00:00Z;0;0.16793
2050-01-04T19:00:00Z;0;0.06745
2050-01-04T20:00:00Z;0;0.09287
2050-01-04T21:00:00Z;0;0.12445
2050-01-04T22:00:00Z;0;0.12445
2050-01-04T23:00:00Z;0;0.16793
2050-01-05T00:00:00Z;0;0.27412
2050-01-05T01:00:00Z;0;0.33033
2050-01-05T02:00:00Z;0;0.33033
2050-01-05T03:00:00Z;0;0.33033
2050-01-05T04:00:00Z;0;0.16793
2050-01-05T05:00:00Z;0;0.21838
2050-01-05T06:00:00Z;0;0.21838
2050-01-05T07:00:00Z;0;0.12445
2050-01-05T08:00:00Z;0.016112272;0.16793
2050-01-05T09:00:00Z;0.050499537;0.09287
2050-01-05T10:00:00Z;0.278234068;0.12445
2050-01-05T11:00:00Z;0.206539863;0.12445
2050-01-05T12:00:00Z;0.327111565;0.09287
2050-01-05T13:00:00Z;0.213028027;0.09287
2050-01-05T14:00:00Z;0.204052735;0.01711
2050-01-05T15:00:00Z;0.090185469;0
2050-01-05T16:00:00Z;0.000648817;0.00743
2050-01-05T17:00:00Z;0;0
2050-01-05T18:00:00Z;0;0
2050-01-05T19:00:00Z;0;0.00743
2050-01-05T20:00:00Z;0;0.00743
2050-01-05T21:00:00Z;0;0.09287
2050-01-05T22:00:00Z;0;0.06745
2050-01-05T23:00:00Z;0;0.06745
2050-01-06T00:00:00Z;0;0.06745
2050-01-06T01:00:00Z;0;0.04637
2050-01-06T02:00:00Z;0;0.03089
2050-01-06T03:00:00Z;0;0.04637
2050-01-06T04:00:00Z;0;0.09287
2050-01-06T05:00:00Z;0;0.06745
2050-01-06T06:00:00Z;0;0.03089
2050-01-06T07:00:00Z;0;0.04637
2050-01-06T08:00:00Z;0.018166857;0.04637
2050-01-06T09:00:00Z;0.077533552;0.06745
2050-01-06T10:00:00Z;0.139711783;0.06745
2050-01-06T11:00:00Z;0.176153633;0.09287
2050-01-06T12:00:00Z;0.143712817;0.12445
2050-01-06T13:00:00Z;0.137224653;0.16793
2050-01-06T14:00:00Z;0.061853823;0.21838
2050-01-06T15:00:00Z;0.081102041;0.16793
2050-01-06T16:00:00Z;0.001946449;0.04637
2050-01-06T17:00:00Z;0;0.03089
2050-01-06T18:00:00Z;0;0.09287
2050-01-06T19:00:00Z;0;0.09287
2050-01-06T20:00:00Z;0;0.16793
2050-01-06T21:00:00Z;0;0.21838
2050-01-06T22:00:00Z;0;0.16793
2050-01-06T23:00:00Z;0;0.16793
2050-01-07T00:00:00Z;0;0.12445
2050-01-07T01:00:00Z;0;0.21838
2050-01-07T02:00:00Z;0;0.06745
2050-01-07T03:00:00Z;0;0.16793
2050-01-07T04:00:00Z;0;0.09287
2050-01-07T05:00:00Z;0;0.09287
2050-01-07T06:00:00Z;0;0.09287
2050-01-07T07:00:00Z;0;0.09287
2050-01-07T08:00:00Z;0.014490231;0.04637
2050-01-07T09:00:00Z;0.085860027;0.01711
2050-01-07T10:00:00Z;0.15074166;0.09287
2050-01-07T11:00:00Z;0.187075374;0.12445
2050-01-07T12:00:00Z;0.208053769;0.16793
2050-01-07T13:00:00Z;0.070504707;0.27412
2050-01-07T14:00:00Z;0.081318313;0.27412
2050-01-07T15:00:00Z;0.016869225;0.21838
2050-01-07T16:00:00Z;0;0.21838
2050-01-07T17:00:00Z;0;0.33033
2050-01-07T18:00:00Z;0;0.6005
2050-01-07T19:00:00Z;0;0.74092
2050-01-07T20:00:00Z;0;0.85217
2050-01-07T21:00:00Z;0;0.85217
2050-01-07T22:00:00Z;0;0.85217
2050-01-07T23:00:00Z;0;0.93433
2050-01-08T00:00:00Z;0;0.967
2050-01-08T01:00:00Z;0;0.967
2050-01-08T02:00:00Z;0;0.967
2050-01-08T03:00:00Z;0;0.967
2050-01-08T04:00:00Z;0;0.98089
2050-01-08T05:00:00Z;0;0.95319
2050-01-08T06:00:00Z;0;0.93433
2050-01-08T07:00:00Z;0.002378993;0.85217
2050-01-08T08:00:00Z;0.122734422;0.74092
2050-01-08T09:00:00Z;0.250551238;0.85217
2050-01-08T10:00:00Z;0.340844844;0.67017
2050-01-08T11:00:00Z;0.560144762;0.67017
2050-01-08T12:00:00Z;0.538950095;0.80195
2050-01-08T13:00:00Z;0.245685116;0.46698
2050-01-08T14:00:00Z;0.055149388;0.27412
2050-01-08T15:00:00Z;0.017626177;0.16793
2050-01-08T16:00:00Z;0.002487129;0.09287
2050-01-08T17:00:00Z;0;0.09287
2050-01-08T18:00:00Z;0;0.16793
2050-01-08T19:00:00Z;0;0.16793
2050-01-08T20:00:00Z;0;0.27412
2050-01-08T21:00:00Z;0;0.33033
2050-01-08T22:00:00Z;0;0.21838
2050-01-08T23:00:00Z;0;0.33033
2050-01-09T00:00:00Z;0;0.27412
2050-01-09T01:00:00Z;0;0.33033
2050-01-09T02:00:00Z;0;0.27412
2050-01-09T03:00:00Z;0;0.39638
2050-01-09T04:00:00Z;0;0.74092
2050-01-09T05:00:00Z;0;0.80195
2050-01-09T06:00:00Z;0;0.99834
2050-01-09T07:00:00Z;0;1
2050-01-09T08:00:00Z;0.02768283;1
2050-01-09T09:00:00Z;0.074722014;1
2050-01-09T10:00:00Z;0.206431728;1
2050-01-09T11:00:00Z;0.257147537;1
2050-01-09T12:00:00Z;0.243846803;1
2050-01-09T13:00:00Z;0.200484244;1
2050-01-09T14:00:00Z;0.069855891;1
2050-01-09T15:00:00Z;0.008975293;1
2050-01-09T16:00:00Z;0;0.99834
2050-01-09T17:00:00Z;0;0.967
2050-01-09T18:00:00Z;0;0.98089
2050-01-09T19:00:00Z;0;0.95319
2050-01-09T20:00:00Z;0;0.74092
2050-01-09T21:00:00Z;0;0.6005
2050-01-09T22:00:00Z;0;0.67017
2050-01-09T23:00:00Z;0;0.39638
2050-01-10T00:00:00Z;0;0.06745
2050-01-10T01:00:00Z;0;0.06745
2050-01-10T02:00:00Z;0;0.21838
2050-01-10T03:00:00Z;0;0.27412
2050-01-10T04:00:00Z;0;0.74092
2050-01-10T05:00:00Z;0;0.95319
2050-01-10T06:00:00Z;0;0.98089
2050-01-10T07:00:00Z;0;0.99834
2050-01-10T08:00:00Z;0.035684898;0.99834
2050-01-10T09:00:00Z;0.044011374;1
2050-01-10T10:00:00Z;0.049850721;1
2050-01-10T11:00:00Z;0.161555266;1
2050-01-10T12:00:00Z;0.213460571;1
2050-01-10T13:00:00Z;0.074181333;1
2050-01-10T14:00:00Z;0.196158803;1
2050-01-10T15:00:00Z;0.128465632;1
2050-01-10T16:00:00Z;0.0065963;1
2050-01-10T17:00:00Z;0;1
2050-01-10T18:00:00Z;0;1
2050-01-10T19:00:00Z;0;1
2050-01-10T20:00:00Z;0;1
2050-01-10T21:00:00Z;0;1
2050-01-10T22:00:00Z;0;1
2050-01-10T23:00:00Z;0;1
2050-01-11T00:00:00Z;0;1
2050-01-11T01:00:00Z;0;0.99834
2050-01-11T02:00:00Z;0;0.99834
2050-01-11T03:00:00Z;0;0.98582
2050-01-11T04:00:00Z;0;0.99834
2050-01-11T05:00:00Z;0;0.98089
2050-01-11T06:00:00Z;0;0.95319
2050-01-11T07:00:00Z;0;0.99834
2050-01-11T08:00:00Z;0.006812572;0.89839
2050-01-11T09:00:00Z;0.020221442;0.93433
2050-01-11T10:00:00Z;0.095700408;0.95319
2050-01-11T11:00:00Z;0.171936327;0.967
2050-01-11T12:00:00Z;0.091483102;1
2050-01-11T13:00:00Z;0.036225578;0.93433
2050-01-11T14:00:00Z;0.031035048;0.95319
2050-01-11T15:00:00Z;0.006704436;0.98089
2050-01-11T16:00:00Z;0;1
2050-01-11T17:00:00Z;0;0.93433
2050-01-11T18:00:00Z;0;0.89839
2050-01-11T19:00:00Z;0;0.53219
2050-01-11T20:00:00Z;0;0.74092
2050-01-11T21:00:00Z;0;0.53219
2050-01-11T22:00:00Z;0;0.39638
2050-01-11T23:00:00Z;0;0.39638
2050-01-12T00:00:00Z;0;0.33033
2050-01-12T01:00:00Z;0;0.6005
2050-01-12T02:00:00Z;0;0.6005
2050-01-12T03:00:00Z;0;0.67017
2050-01-12T04:00:00Z;0;0.74092
2050-01-12T05:00:00Z;0;0.93433
2050-01-12T06:00:00Z;0;0.95319
2050-01-12T07:00:00Z;0;0.967
2050-01-12T08:00:00Z;0.004649851;0.99834
2050-01-12T09:00:00Z;0.027899102;0.98582
2050-01-12T10:00:00Z;0.157229823;0.98582
2050-01-12T11:00:00Z;0.150633524;1
2050-01-12T12:00:00Z;0.090185469;1
2050-01-12T13:00:00Z;0.051040218;0.99834
2050-01-12T14:00:00Z;0.012760055;0.99834
2050-01-12T15:00:00Z;0.001622041;0.98582
2050-01-12T16:00:00Z;0;0.98089
2050-01-12T17:00:00Z;0;0.967
2050-01-12T18:00:00Z;0;0.89839
2050-01-12T19:00:00Z;0;0.89839
2050-01-12T20:00:00Z;0;0.6005
2050-01-12T21:00:00Z;0;0.33033
2050-01-12T22:00:00Z;0;0.33033
2050-01-12T23:00:00Z;0;0.27412
2050-01-13T00:00:00Z;0;0.12445
2050-01-13T01:00:00Z;0;0.12445
2050-01-13T02:00:00Z;0;0.09287
2050-01-13T03:00:00Z;0;0.21838
2050-01-13T04:00:00Z;0;0.21838
2050-01-13T05:00:00Z;0;0.12445
2050-01-13T06:00:00Z;0;0.00743
2050-01-13T07:00:00Z;0;0
2050-01-13T08:00:00Z;0.017085497;0.04637
2050-01-13T09:00:00Z;0.103378068;0.74092
2050-01-13T10:00:00Z;0.177451265;0.967
2050-01-13T11:00:00Z;0.168908517;0.95319
2050-01-13T12:00:00Z;0.054284299;0.67017
2050-01-13T13:00:00Z;0.1496603;0.53219
2050-01-13T14:00:00Z;0.042389333;0.33033
2050-01-13T15:00:00Z;0.016544817;0.33033
2050-01-13T16:00:00Z;0.003135945;0.12445
2050-01-13T17:00:00Z;0;0.12445
2050-01-13T18:00:00Z;0;0.06745
2050-01-13T19:00:00Z;0;0.16793
2050-01-13T20:00:00Z;0;0.16793
2050-01-13T21:00:00Z;0;0.12445
2050-01-13T22:00:00Z;0;0.16793
2050-01-13T23:00:00Z;0;0.39638
2050-01-14T00:00:00Z;0;0.16793
2050-01-14T01:00:00Z;0;0.09287
2050-01-14T02:00:00Z;0;0.06745
2050-01-14T03:00:00Z;0;0.09287
2050-01-14T04:00:00Z;0;0.06745
2050-01-14T05:00:00Z;0;0.09287
2050-01-14T06:00:00Z;0;0.21838
2050-01-14T07:00:00Z;0.001513905;0.46698
2050-01-14T08:00:00Z;0.017409904;0.16793
2050-01-14T09:00:00Z;0.036117442;0.46698
2050-01-14T10:00:00Z;0.080993905;0.16793
2050-01-14T11:00:00Z;0.152904381;0.46698
2050-01-14T12:00:00Z;0.30721453;0.67017
2050-01-14T13:00:00Z;0.266014694;0.33033
2050-01-14T14:00:00Z;0.141117551;0.33033
2050-01-14T15:00:00Z;0.072775565;0.21838
2050-01-14T16:00:00Z;0.007785796;0.04637
2050-01-14T17:00:00Z;0;0.09287
2050-01-14T18:00:00Z;0;0.16793
2050-01-14T19:00:00Z;0;0.00743
2050-01-14T20:00:00Z;0;0.09287
2050-01-14T21:00:00Z;0;0.21838
2050-01-14T22:00:00Z;0;0.12445
2050-01-14T23:00:00Z;0;0.53219
2050-01-15T00:00:00Z;0;0.6005
2050-01-15T01:00:00Z;0;0.33033
2050-01-15T02:00:00Z;0;0.46698
2050-01-15T03:00:00Z;0;0.53219
2050-01-15T04:00:00Z;0;0.6005
2050-01-15T05:00:00Z;0;0.67017
2050-01-15T06:00:00Z;0;0.85217
2050-01-15T07:00:00Z;0;0.89839
2050-01-15T08:00:00Z;0.013300734;0.967
2050-01-15T09:00:00Z;0.030926912;0.98582
2050-01-15T10:00:00Z;0.070180299;1
2050-01-15T11:00:00Z;0.042064925;1
2050-01-15T12:00:00Z;0.054500571;1
2050-01-15T13:00:00Z;0.060664327;0.98582
2050-01-15T14:00:00Z;0.155607783;0.98582
2050-01-15T15:00:00Z;0.01340887;0.967
2050-01-15T16:00:00Z;0;0.74092
2050-01-15T17:00:00Z;0;0.53219
2050-01-15T18:00:00Z;0;0.39638
2050-01-15T19:00:00Z;0;0.27412
2050-01-15T20:00:00Z;0;0.6005
2050-01-15T21:00:00Z;0;0.85217
2050-01-15T22:00:00Z;0;0.85217
